event_id,country_id,event_date,event_type,severity,title,description,source_url
NZL-E03,NZL,2023/4/5,法制定,High,Digital Identity Services Trust Framework Act assented,Digital Identity Services Trust Framework Act 2023 received assent on 5 April 2023,https://www.legislation.govt.nz/act/public/2023/0013/latest/whole.html
NZL-E09,NZL,2024/1/1,拡張,Medium,Identity Check reusable component added to gov roadmap,DIA notes Identity Check added to All-of-Government Service Modernisation Roadmap in 2024.,https://www.digitalidentity.dia.govt.nz/services/identity-check
NZL-E04,NZL,2024/7/1,施行,Medium,Trust Framework Act fully in force by July 2024,"Act provides that to extent not earlier, it comes into force on 1 July 2024",https://docref.digital.govt.nz/nz/distf/14/en/
NZL-E10,NZL,2025/1/1,発表,Low,Identity Check roadmap indicates broader rollout,DIA roadmap indicates 2026 broader rollout following pilots.,https://www.digitalidentity.dia.govt.nz/services/identity-check
SGP-E01,SGP,2003/3/1,制度開始,High,SingPass launched,SingPass was launched on 1 March 2003 as common login for government e-services,https://www.imda.gov.sg/-/media/imda/files/inner/archive/news-and-events/news_and_events_level2/20071105103244/singpass5nov07annexa.pdf
SGP-E02,SGP,2014/11/27,拡張,Medium,SingPass security enhancements announced,GovTech described ongoing security enhancements and plans for 2FA for sensitive e-gov transactions,https://www.tech.gov.sg/media/enhancing-singpass-to-better-serve-and-protect-users/
SGP-E03,SGP,2016/5/4,制度開始,High,MyInfo launched,MyInfo pilot ran Jan–Apr 2016 and service launched May 2016 for e-services to auto-fill forms,https://www.imda.gov.sg/-/media/imda/files/inner/about-us/newsroom/speeches/2016/myinfo/factsheet-on-myinfo-4-may-2016.pdf
SGP-E04,SGP,2018/10/1,制度開始,High,SingPass mobile app launched,SingPass Mobile app launched in October 2018 to provide convenient access and authentication,https://isomer-user-content.by.gov.sg/38/fb988964-43cf-4d24-b851-4ad79a5c6a0d/factsheet-singpass-national-digital-identity.pdf
SGP-E05,SGP,2018/10/1,制度開始,High,Singpass app launched,Singpass app introduced in October 2018 as mobile interface for authentication and services.,https://www.mddi.gov.sg/newsroom/refreshed-singpass-reflects-improved-services/
SGP-E06,SGP,2020/5/1,拡張,Medium,Singpass Digital IC feature introduced,Digital IC feature was introduced in Singpass app in May 2020 for in-person ID.,https://www.tech.gov.sg/media/2021-10-28-all-government-agencies-to-accept-singpass-digital-ic-from-1-november-2021/
SGP-E07,SGP,2021/3/7,発表,Low,Singpass refreshed brand and logo updated,GovTech announced refreshed Singpass brand identity and updated logo from 7 March 2021.,https://www.mddi.gov.sg/newsroom/refreshed-singpass-reflects-improved-services/
SGP-E08,SGP,2021/11/1,拡張,High,All government agencies accept Digital IC,All government agencies began accepting Singpass Digital IC for in-person services from 1 Nov 2021.,https://www.tech.gov.sg/media/2021-10-28-all-government-agencies-to-accept-singpass-digital-ic-from-1-november-2021/
SGP-E09,SGP,2022/3/2,発表,Medium,Singpass national digital identity factsheet published,MDDI published factsheet describing Singpass features including Myinfo and Verify.,https://www.mddi.gov.sg/newsroom/singpass-factsheet-02032022/
SGP-E11,SGP,2022/3/7,制度開始,Medium,Singapore Digital Driving Licence launched in Singpass,Singapore Police Force and partners launched the Singapore Digital Driving Licence in the Singpass app on 7 March 2022.,https://www.police.gov.sg/media-hub/news/2022/20220302_launch_of_singapore_digital_driving_licence_on_the_singpass_app
SGP-E10,SGP,2025/11/19,発表,Low,GovTech updates Singpass product page stats,GovTech updated Singpass product page describing scale and transactions (last updated Nov 2025).,https://www.tech.gov.sg/products-and-services/for-citizens/digital-services/singpass/
SWE-E04,SWE,2002/9/1,制度開始,High,Finansiell ID-Teknik established,Finansiell ID-Teknik (BankID operator) established in September 2002.,https://www.bankid.com/en/about-us/history
SWE-E01,SWE,2003/1/1,制度開始,High,First BankID e-ID issued,BankID consortium issued the first BankID e-ID in 2003,https://www.bankid.com/en/about-us/history
SWE-E05,SWE,2004/10/1,拡張,Low,BankID infrastructure expanded to more issuers,BankID infrastructure expanded as additional banks began issuing BankID in 2004.,https://www.bankid.com/en/about-us/history
SWE-E06,SWE,2005/5/1,拡張,Low,"BankID reaches 500,000 users","During 2005 tax declaration period, BankID reached 500,000 users.",https://www.bankid.com/en/about-us/history
SWE-E07,SWE,2006/1/1,拡張,Low,BankID use expands to private companies,"By 2006, more private companies and public bodies used BankID, surpassing 2 million uses per month.",https://www.bankid.com/en/about-us/history
SWE-E08,SWE,2010/4/20,制度開始,High,Mobile BankID launched,BankID launched Mobile BankID electronic identification for mobile phones in April 2010.,https://prwire.com.au/pr/17512/mobile-bankid-electronic-identification-launched-in-mobile-phones
SWE-E02,SWE,2011/1/1,制度開始,Medium,Swedish eIdentification Board established,Swedish eIdentification Board was created in 2011 to coordinate eID infrastructure,https://interoperable-europe.ec.europa.eu/collection/eidentity-and-esignature/document/swedish-eid-swedish-eid
SWE-E09,SWE,2012/12/11,制度開始,High,Swish mobile payments launched,Swish mobile payment service launched by major banks enabling instant payments using Mobile BankID.,https://sebgroup.com/siteassets/cision/documents/2012/20121211-seb-launches-new-mobile-payment-service-swish-en-0-2805022.pdf
SWE-E10,SWE,2012/12/12,拡張,Medium,Swish app available to public,Swish app became available for download from 12 Dec 2012.,https://sebgroup.com/siteassets/cision/documents/2012/20121211-seb-launches-new-mobile-payment-service-swish-en-0-2805022.pdf
SWE-E03,SWE,2017/8/15,制度開始,Medium,Freja eID launched,Verisec launched the new e-ID Freja eID on 15 Aug 2017; students were the first user group.,"https://news.cision.com/se/freja-eid-group/r/freja-eid-lanseras-for-sveriges-studenter,c2325916"
SWE-E11,SWE,2018/8/1,拡張,Medium,Freja eID+ joins national eID market,EU blog noted Freja eID+ joined Swedish eID means in August 2018.,https://ec.europa.eu/digital-building-blocks/sites/spaces/DIGITAL/blog/2021/05/11/533365476/Sweden+France+and+Malta+pre-notifiy+eID+schemes
SWE-E12,SWE,2020/12/1,発表,Medium,Swedish eID scheme pre-notified under eIDAS,Sweden pre-notified its national eID scheme (Svensk e-legitimation) in December 2020.,https://ec.europa.eu/digital-building-blocks/sites/spaces/DIGITAL/blog/2021/05/11/533365476/Sweden+France+and+Malta+pre-notifiy+eID+schemes
SWE-E13,SWE,2021/5/11,発表,Low,EU blog announces Sweden eID pre-notification,European Commission blog published overview of Sweden pre-notification and eID means.,https://ec.europa.eu/digital-building-blocks/sites/spaces/DIGITAL/blog/2021/05/11/533365476/Sweden+France+and+Malta+pre-notifiy+eID+schemes
SWE-E14,SWE,2023/6/15,制度開始,Medium,BankID digital ID card feature ready to activate,BankID announced its digital ID card is ready to activate in the BankID app (requires Swedish passport or national ID card).,http://www.bankid.com/om-oss/nyheter/nu-ar-det-digitala-id-kortet-har
SWE-E15,SWE,2025/1/1,発表,Low,BankID notified for EU cross-border use,BankID published in EU official journal enabling use in EU public e-services.,https://en.mobil.se/news/swedish-e-identification-bankid-aims-for-whole-of-europe/1601179
USA-E01,USA,2005/5/11,法制定,High,REAL ID Act signed into law,"REAL ID Act of 2005 was signed into law on May 11, 2005",https://www.congress.gov/bill/109th-congress/house-bill/418
USA-E02,USA,2017/4/1,制度開始,High,Login.gov launched,Login.gov was deployed in April 2017 as a common sign-in platform for federal websites,https://www.usds.gov/report-to-congress/2017/07/login-dot-gov/
USA-E06,USA,2018/9/1,制度開始,High,Login.gov identity verification launched,Login.gov launched identity verification in Fall 2018 as a key milestone.,https://www.login.gov/about-us/
USA-E07,USA,2022/8/1,拡張,Medium,Login.gov reaches one million proofed accounts,Login.gov reached one million proofed accounts in August 2022.,https://www.login.gov/about-us/
USA-E03,USA,2023/9/29,拡張,Medium,All Cabinet agencies using Login.gov,"GSA announced all Cabinet agencies are using Login.gov as of Sep 29, 2023",https://www.gsa.gov/about-us/newsroom/news-releases/us-general-services-administration-announces-all-cabinet-agencies-are-now-using-logingov-09292023
USA-E08,USA,2024/9/1,拡張,Medium,Login.gov launches NIST IAL2-compliant offering,Login.gov launched a NIST IAL2-compliant offering in September 2024.,https://www.login.gov/about-us/
USA-E04,USA,2024/11/25,拡張,Medium,TSA mDL waiver rule effective,"TSA final rule enabling continued mDL acceptance becomes effective Nov 25, 2024",https://www.tsa.gov/news/press/releases/2024/10/24/tsa-announces-final-rule-enables-continued-acceptance-mobile-drivers
USA-E05,USA,2025/5/7,施行,High,REAL ID enforcement begins,"Full REAL ID enforcement begins May 7, 2025 for federal official purposes including TSA",https://www.tsa.gov/realid/realid-mobile-drivers-license-mdls
USA-E09,USA,2025/8/20,拡張,Medium,Login.gov adds passport-based identity verification,"GSA announced Login.gov allowing identity verification using a US passport on Aug 20, 2025.",https://www.gsa.gov/about-us/newsroom/news-releases/gsas-logingov-launches-passportbased-identity-verification-08202025
USA-E10,USA,2025/8/21,発表,Low,Login.gov program update on passport-based verification,Login.gov partners update announced passport-based identity verification rollout.,https://www.login.gov/partners/program-updates/login-gov-begins-passport-based-identity-verification/
